#284,#298
0,8
0,40
3,19
3,268
6,74
6,268
8,0
8,73
10,52
12,7
15,113
17,150
17,211
17,247
17,248
17,268
18,93
18,226
18,258
19,3
19,176
22,136
22,268
25,238
27,113
29,234
29,248
29,266
29,268
30,268
31,175
32,213
40,178
41,259
42,238
42,268
47,268
50,174
52,76
54,175
54,261
56,248
56,268
58,190
59,248
59,268
60,268
61,248
61,268
62,146
63,148
63,281
64,239
73,8
73,258
74,6
76,268
83,176
83,248
85,120
85,224
88,176
88,259
88,266
89,175
89,248
90,241
93,113
93,248
103,18
103,149
103,277
106,189
106,248
106,262
106,268
107,238
107,281
108,149
108,215
108,243
109,113
109,248
111,18
111,94
115,176
115,215
115,258
115,268
118,171
129,52
129,215
129,266
129,268
131,176
131,248
132,176
132,248
135,248
137,40
137,116
137,175
137,176
140,115
140,238
140,248
140,268
141,94
141,266
143,18
143,149
143,258
143,268
144,248
145,234
145,238
145,268
146,0
146,8
146,52
146,56
146,93
146,103
146,149
146,176
146,234
146,238
146,244
146,257
146,258
146,259
146,266
147,248
147,268
148,63
148,281
149,0
149,146
149,176
149,248
149,268
152,268
153,164
153,175
153,283
155,244
155,258
155,268
157,0
157,149
157,218
157,268
158,238
158,268
159,238
159,258
159,268
161,52
161,268
163,268
166,210
170,268
171,118
174,50
175,31
175,54
175,153
175,262
175,283
176,18
176,115
176,182
176,222
176,234
177,120
177,165
177,224
178,40
180,116
180,238
181,268
185,248
188,113
188,210
188,250
189,266
192,0
192,93
192,113
192,176
192,238
192,248
192,268
193,248
194,238
196,113
196,248
196,268
201,238
208,52
208,113
208,258
212,94
212,133
212,258
212,266
213,32
213,263
213,268
215,8
215,52
215,108
215,113
215,149
215,176
215,182
215,238
215,257
215,258
215,263
215,268
215,277
216,268
218,37
218,111
218,157
218,176
218,248
218,258
220,268
222,176
226,18
228,40
228,238
228,268
229,176
230,248
232,8
232,22
232,65
232,176
232,238
234,176
234,238
234,248
234,266
234,270
237,8
237,248
237,258
238,40
238,93
238,201
238,234
238,268
242,234
243,108
243,176
243,248
244,155
244,215
247,17
247,211
247,268
248,149
248,243
249,268
250,210
258,18
258,103
258,140
258,149
258,215
261,54
262,113
262,120
262,248
265,238
267,111
267,268
268,103
268,277
269,281
272,0
272,113
272,176
272,238
272,248
272,268
275,238
277,103
277,215
277,244
277,248
277,268
280,268
281,238
283,175
